,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,hex_id,pypi,bitbucket_id
0,best-of-ml-python - Data Visualization,True,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,True,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,36,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-04-17 18:45:47.000000,2024-04-17 18:45:47,4290.0,1610.0,5679.0,16132.0,2021-01-30 02:36:56,7.18.1,320858.0,43825515.0,98.0,532108.0,532108.0,986.0,https://pypi.org/project/ipython,43166328.0,https://anaconda.org/conda-forge/ipython,2024-03-04 14:01:19.927,26923957.0,1.0,,,,,,,,,,,,,,,,,
2,Jupyter,True,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,36,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-04-18 12:58:38.000000,2024-04-18 12:58:38,4530.0,1906.0,2928.0,12209.0,2024-04-17 16:24:29,7.1.3,17590.0,24530025.0,89.0,277808.0,277808.0,646.0,https://pypi.org/project/notebook,24120826.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,4156758.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1071.0,32661058.0,9.0,,,,,,,,,,,
3,nbconvert,True,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,34,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-04-10 16:50:06.799000,2024-04-08 11:09:18,534.0,513.0,650.0,1662.0,2024-03-21 17:59:32,7.16.3,1097.0,25796515.0,72.0,266585.0,266585.0,271.0,https://pypi.org/project/nbconvert,25389870.0,https://anaconda.org/conda-forge/nbconvert,2024-04-10 16:50:06.799,16671744.0,1.0,,,,,,,,,,,,,,,,,
4,IPython Kernel,True,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-04-08 12:32:26.000000,2024-04-08 12:32:26,348.0,250.0,242.0,612.0,2024-03-27 22:25:50,6.29.4,2207.0,26340896.0,76.0,354555.0,354555.0,182.0,https://pypi.org/project/ipykernel,26332132.0,https://anaconda.org/anaconda/ipykernel,2024-01-22 15:02:52.448,878890.0,1.0,,,,,,12.0,,,,,,,,,,,
5,bokeh,True,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-04-18 10:59:01.000000,2024-04-15 15:54:58,4107.0,729.0,6872.0,18810.0,,,,5445182.0,60.0,86310.0,86310.0,691.0,https://pypi.org/project/bokeh,5147814.0,https://anaconda.org/conda-forge/bokeh,2024-04-12 05:55:15.282,13678970.0,1.0,,,,,,,,,,,,,,,,,
6,pandas-profiling,True,Create HTML profiling reports from pandas DataFrame..,https://github.com/ydataai/ydata-profiling,,widgets,33,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-04-13 08:50:27.000000,2024-04-09 16:00:51,1607.0,214.0,558.0,12015.0,2024-03-18 18:22:40,4.7.0,78.0,615179.0,57.0,2893.0,2893.0,120.0,https://pypi.org/project/pandas-profiling,610558.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,425138.0,1.0,,,,,,,ydataai/ydata-profiling,1381.0,,,,,,,,,
7,qtconsole,True,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,32,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2024-02-22 18:19:19.000000,2023-11-25 20:30:31,189.0,108.0,230.0,393.0,,,,5211828.0,41.0,170459.0,170459.0,123.0,https://pypi.org/project/qtconsole,5110507.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4660768.0,1.0,,,,,,,,1971.0,,,,,,,,,
8,nbformat,True,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,32,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2024-04-04 13:59:41.149000,2024-04-04 11:20:24,150.0,61.0,82.0,245.0,2024-04-04 11:20:44,5.10.4,265.0,25617989.0,29.0,278197.0,278197.0,80.0,https://pypi.org/project/nbformat,25132306.0,https://anaconda.org/conda-forge/nbformat,2024-04-04 13:59:41.149,21855505.0,1.0,,,,,,13.0,,,,,,,,,,,
9,Jupyter Book,True,"Build interactive, publication-quality documents from Jupyter..",https://github.com/executablebooks/jupyter-book,,notebook-sharing,31,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,BSD-3-Clause,2018-06-14 01:55:51.000,2024-04-15 16:39:09.000000,2024-03-11 09:38:53,605.0,594.0,746.0,3683.0,2024-01-26 21:10:26,1.0.0,,85870.0,43.0,13344.0,13344.0,137.0,https://pypi.org/project/jupyter-book,85870.0,,,,1.0,,,,,,7.0,,1529.0,,,,,,,,,
