,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,hex_id,pypi,bitbucket_id
71,ipytest,True,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,21,chmp/ipytest,ipytest,,https://github.com/chmp/ipytest,MIT,2016-02-07 20:24:41.000,2024-04-21 15:56:48.000000,2024-04-21 15:55:54,17.0,1.0,60.0,288.0,2024-04-21 15:56:48,0.14.2,,38115.0,24.0,417.0,417.0,5.0,https://pypi.org/project/ipytest,38115.0,,,,3.0,,,,,,,,,,,,,,,,,
72,nbgitpuller,True,Jupyter server extension to sync a git repository one-way to a..,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,21,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,BSD-3-Clause,2017-05-24 19:41:10.000,2024-05-07 05:32:51.000000,2024-05-07 05:32:50,79.0,67.0,91.0,202.0,,,,27310.0,14.0,786.0,786.0,32.0,https://pypi.org/project/nbgitpuller,25327.0,https://anaconda.org/conda-forge/nbgitpuller,2024-03-29 23:26:43.583,89277.0,2.0,,,,,,,,,,,,,,,,,
73,docker-python,True,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,20,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,Apache-2.0,2015-04-14 01:45:38.000,2024-05-16 13:53:25.000000,2024-05-16 13:53:24,886.0,30.0,323.0,2538.0,2024-04-18 03:25:13,7251358b29231b2d9eab6dfe950c0cfcc37fdf4fc1fe998b4d8e2caf393f3e8a,,1796.0,100.0,,,160.0,,,,,,3.0,kaggle/python,https://hub.docker.com/r/kaggle/python,2024-04-23 21:07:01.318516,183.0,195776.0,,,,,,,,,,,,
74,nbviewer,True,nbconvert as a web service: Render Jupyter Notebooks as static web..,https://github.com/jupyter/nbviewer,,notebook-sharing,20,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,BSD-3-Clause,2012-08-05 11:42:33.000,2024-04-01 22:26:56.000000,2023-01-27 08:04:32,529.0,180.0,407.0,2197.0,,,,19822.0,,18.0,18.0,97.0,,,,,,3.0,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2023-01-27 08:07:14.487852,33.0,2795006.0,,,,,,,,,,,,
75,IJavascript,True,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,20,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,,2015-02-02 15:46:34.000,2024-02-22 12:46:40.000000,2022-12-28 22:18:25,151.0,54.0,190.0,2134.0,2021-11-15 23:43:33,5.2.1,,2412.0,33.0,87.0,87.0,17.0,,,,,,2.0,,,,,,,,332.0,ijavascript,https://www.npmjs.com/package/ijavascript,2412.0,,,,,,
76,IRuby,True,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,20,SciRuby/iruby,,,https://github.com/SciRuby/iruby,MIT,2015-03-03 18:05:50.000,2024-05-12 12:19:22.000000,2024-05-12 07:10:32,24.0,45.0,148.0,834.0,2021-08-17 16:20:34,0.7.4,15.0,19.0,10.0,233.0,233.0,47.0,,,,,,2.0,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2023-02-03 04:21:45.711711,5.0,2152.0,,,724.0,,,,,,iruby,,,
77,pivottablejs,True,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook,..",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,20,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,,2015-09-09 13:39:18.000,2024-03-15 12:50:01.000000,2018-12-04 14:43:25,87.0,23.0,41.0,672.0,2018-01-15 18:11:51,0.9.0,,41260.0,8.0,430.0,430.0,3.0,https://pypi.org/project/pivottablejs,41260.0,,,,3.0,,,,,,,,32.0,,,,,,,,,
78,nb_conda_kernels,True,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/anaconda/nb_conda_kernels,,kernels,20,Anaconda-Platform/nb_conda_kernels,,conda-forge/nb_conda_kernels,https://github.com/anaconda/nb_conda_kernels,BSD-3-Clause,2015-12-10 16:11:42.000,2024-04-26 16:56:00.957000,2024-04-23 13:17:31,68.0,8.0,144.0,566.0,2024-04-16 17:36:25,2.5.0,,29317.0,13.0,,,20.0,,,https://anaconda.org/conda-forge/nb_conda_kernels,2024-04-26 16:56:00.957,1319300.0,2.0,,,,,,,anaconda/nb_conda_kernels,418.0,,,,,,,,,
79,JupyterLab Debugger,True,"A visual debugger for Jupyter notebooks, consoles, and..",https://github.com/jupyterlab/debugger,,lab-extensions,20,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,BSD-3-Clause,2019-07-19 18:19:17.000,2022-03-15 11:03:46.000000,2021-03-31 14:20:34,41.0,17.0,245.0,560.0,2020-12-10 14:31:28,0.3.7,,67239.0,28.0,,,11.0,,,,,,1.0,,,,,,,,1174.0,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,67239.0,,,,,,
80,KubeSpawner,True,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,20,jupyterhub/kubespawner,jupyterhub-kubespawner,,https://github.com/jupyterhub/kubespawner,BSD-3-Clause,2015-11-21 07:02:52.000,2024-05-07 05:32:59.000000,2024-05-07 05:32:58,290.0,74.0,289.0,523.0,,,,11831.0,,164.0,164.0,85.0,https://pypi.org/project/jupyterhub-kubespawner,11831.0,,,,1.0,,,,,,,,,,,,,,,,,
