,name,show,description,homepage,resource,category,projectrank,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,commit_count,npm_id,npm_url,npm_monthly_downloads,cran_id,go_id,gem_id,hex_id,pypi,bitbucket_id
10,ipyleaflet,True,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,31,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-04-24 11:50:07.575000,2024-04-24 08:13:45,345.0,236.0,350.0,1452.0,2024-04-23 15:55:28,0.19.0,,170640.0,71.0,8457.0,8457.0,88.0,https://pypi.org/project/ipyleaflet,137932.0,https://anaconda.org/conda-forge/ipyleaflet,2024-04-24 11:50:07.575,1123038.0,1.0,,,,,,,,1179.0,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,8814.0,,,,,,
11,panel,True,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-04-25 12:26:33.000000,2024-04-24 10:11:06,452.0,1016.0,2371.0,4200.0,2024-04-23 09:10:16,1.4.2,,560755.0,67.0,11040.0,11040.0,170.0,https://pypi.org/project/panel,530801.0,https://anaconda.org/conda-forge/panel,2024-04-09 14:44:10.039,1377910.0,2.0,,,,,,,,,,,,,,,,,
12,Jupytext,True,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2024-03-24 23:07:40.000000,2024-03-24 22:59:09,377.0,119.0,538.0,6417.0,2024-01-13 17:14:35,1.16.1,,630787.0,100.0,7244.0,7244.0,85.0,https://pypi.org/project/jupytext,607658.0,https://anaconda.org/conda-forge/jupytext,2024-01-13 18:58:26.560,782852.0,1.0,,,,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,6111.0,,,,,,
13,nikola,True,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,MIT,2012-04-14 13:53:22.000,2024-04-09 17:44:28.000000,2024-04-09 17:44:28,374.0,65.0,2110.0,2548.0,2024-01-10 20:52:22,8.3.0,112.0,2177.0,79.0,512.0,512.0,239.0,https://pypi.org/project/nikola,2177.0,,,,1.0,,,,,,,,10410.0,,,,,,,,,
14,nbclient,True,A client library for executing notebooks. Formally nbconvert's..,https://github.com/jupyter/nbclient,,notebook-tools,29,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2024-04-15 11:19:02.000000,2024-03-13 00:25:11,51.0,34.0,70.0,137.0,2024-03-13 00:25:28,0.10.0,442.0,20530950.0,33.0,160559.0,160559.0,38.0,https://pypi.org/project/nbclient,20221985.0,https://anaconda.org/conda-forge/nbclient,2024-03-13 08:16:55.142,14211830.0,1.0,,,,,,,,,,,,,,,,,
15,bqplot,True,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2024-03-25 08:57:59.000000,2024-03-25 08:55:18,450.0,225.0,368.0,3552.0,2024-02-27 15:38:38,0.12.43,,150193.0,64.0,55.0,55.0,64.0,https://pypi.org/project/bqplot,119802.0,https://anaconda.org/conda-forge/bqplot,2024-02-19 16:46:43.025,1281741.0,1.0,,,,,,,,3659.0,bqplot,https://www.npmjs.com/package/bqplot,3120.0,,,,,,
16,ipython-sql,True,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,28,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2024-03-27 15:24:21.000000,2023-04-21 20:49:35,274.0,107.0,44.0,1763.0,,,,204515.0,3.0,6323.0,6323.0,55.0,https://pypi.org/project/ipython-sql,201724.0,https://anaconda.org/conda-forge/ipython-sql,2023-06-16 13:23:09.898,256862.0,1.0,,,,,,,,292.0,,,,,,,,,
17,jupyter-matplotlib,True,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,28,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2024-04-15 13:21:37.000000,2024-04-15 13:15:20,220.0,137.0,162.0,1527.0,2024-04-15 13:25:04,0.9.4,,319426.0,29.0,11079.0,11079.0,33.0,https://pypi.org/project/ipympl,309739.0,,,,1.0,,,,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,9687.0,,,,,,
18,Perspective,True,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,27,finos/perspective,perspective-python,,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2024-04-21 07:15:46.000000,2024-03-26 15:14:29,973.0,93.0,646.0,7530.0,2024-03-25 22:52:24,2.10.0,2545.0,8914.0,13.0,120.0,120.0,93.0,https://pypi.org/project/perspective-python,5147.0,,,,1.0,,,,,,,,5965.0,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,3485.0,,,,,,
19,papermill,True,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,27,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2024-04-11 03:48:44.000000,2024-04-04 21:09:10,410.0,135.0,258.0,5629.0,,,,1509775.0,19.0,5891.0,5891.0,121.0,https://pypi.org/project/papermill,1497131.0,https://anaconda.org/conda-forge/papermill,2024-04-09 05:32:22.467,581641.0,2.0,,,,,,,,,,,,,,,,,
20,D-Tale,True,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,27,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-04-23 19:43:29.000000,2024-03-06 14:52:20,378.0,63.0,509.0,4546.0,2024-03-07 14:03:25,3.11.0,,57931.0,142.0,1094.0,1094.0,30.0,https://pypi.org/project/dtale,52124.0,https://anaconda.org/conda-forge/dtale,2024-03-07 14:28:38.963,272972.0,2.0,,,,,,,,787.0,,,,,,,,,
21,JupyterLab Git,True,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,BSD-3-Clause,2017-06-20 17:31:00.000,2024-04-17 12:40:04.000000,2024-04-17 12:40:03,283.0,89.0,495.0,1390.0,2023-11-21 14:39:09,0.50.0,180.0,139348.0,56.0,2710.0,2710.0,94.0,https://pypi.org/project/jupyterlab-git,127640.0,https://anaconda.org/conda-forge/jupyterlab-git,2024-02-07 14:03:02.767,538410.0,1.0,,,,,,,,,,,,,,,,,
22,facets-overview,True,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,Apache-2.0,2017-07-07 14:03:03.000,2023-05-24 15:56:22.000000,2023-05-24 15:56:22,878.0,78.0,81.0,7313.0,2019-07-01 16:35:20,1.0.0,,147345.0,4.0,235.0,235.0,31.0,https://pypi.org/project/facets-overview,147345.0,,,,2.0,,,,,,,,277.0,,,,,,,,,
23,Voila,True,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,26,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,,2018-08-21 14:21:42.000,2024-04-17 14:28:59.000000,2024-04-17 14:28:59,485.0,289.0,430.0,5211.0,2024-04-02 14:40:48,0.2.17,1090.0,122632.0,74.0,11006.0,11006.0,69.0,https://pypi.org/project/voila,114665.0,https://anaconda.org/conda-forge/voila,2024-04-02 15:31:53.941,333085.0,2.0,,,,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,186.0,,,,,,
24,ipywidgets,True,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,26,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2024-04-18 08:55:47.000000,2024-02-08 15:35:20,913.0,689.0,1325.0,3051.0,2024-02-22 16:47:17,8.1.2,,17787022.0,53.0,3.0,3.0,212.0,https://pypi.org/project/ipywidgets,17412369.0,https://anaconda.org/conda-forge/ipywidgets,2024-02-08 21:24:52.939,13297865.0,2.0,,,,,,-8.0,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,65401.0,,,,,,
25,nbdime,True,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,26,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,,2015-11-16 09:25:53.000,2024-03-16 19:02:57.000000,2023-11-21 09:21:22,149.0,76.0,263.0,2595.0,2023-11-21 09:21:51,4.0.1,126.0,396513.0,25.0,139.0,139.0,50.0,https://pypi.org/project/nbdime,341534.0,https://anaconda.org/conda-forge/nbdime,2023-11-21 14:11:17.594,992671.0,2.0,,,,,,,,2132.0,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,31334.0,,,,,,
26,jupyter-dash,True,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,26,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,MIT,2020-04-26 18:43:59.000,2024-04-10 15:52:16.000000,2023-08-11 17:18:48,236.0,46.0,29.0,946.0,2022-04-01 20:13:44,0.4.2,99.0,149721.0,11.0,3808.0,3808.0,10.0,https://pypi.org/project/jupyter-dash,149719.0,,,,2.0,,,,,,,,162.0,,,,,,,,,
27,Docker Stacks,True,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2024-04-19 09:33:48.000000,2024-04-19 09:33:42,2825.0,10.0,869.0,8190.0,,,,863227.0,,21.0,21.0,246.0,,,,,,1.0,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2023-10-20 20:03:34.298948,445.0,90638899.0,,,,,,,,,,,,
28,JupyterHub,True,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,25,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,,2014-06-12 23:22:10.000,2024-04-24 21:11:17.000000,2024-04-24 17:24:13,1912.0,161.0,2223.0,7909.0,,,,226340.0,44.0,2816.0,2816.0,357.0,https://pypi.org/project/jupyterhub,158622.0,https://anaconda.org/conda-forge/jupyterhub,2024-04-05 00:18:51.452,1071715.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-04-24 17:30:00.494765,333.0,5180622.0,,,,,,,,,,,,
29,nteract,True,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,25,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,BSD-3-Clause,2015-06-15 23:21:49.000,2023-12-30 16:09:02.000000,2023-12-30 16:09:02,536.0,165.0,1522.0,6152.0,2021-01-26 05:18:38,0.28.0,1501015.0,16768.0,66.0,3.0,3.0,180.0,https://pypi.org/project/nteract_on_jupyter,968.0,,,,1.0,,,,,,,,10501.0,,,,,,,,,
30,Contrib NBextensions,True,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,25,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,2013-07-13 17:05:16.000,2024-03-21 14:05:18.000000,2022-12-21 19:56:24,787.0,346.0,462.0,5172.0,2022-11-15 17:24:23,0.7.0,,530598.0,2.0,20.0,20.0,135.0,https://pypi.org/project/jupyter_contrib_nbextensions,530598.0,,,,1.0,,,,,,,,2660.0,,,,,,,,,
31,sparkmagic,True,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,25,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,,2015-09-21 15:35:25.000,2024-04-17 17:10:26.000000,2024-03-13 23:16:34,413.0,132.0,300.0,1284.0,2023-09-13 15:49:53,0.21.0,,53015.0,23.0,340.0,340.0,64.0,https://pypi.org/project/sparkmagic,50290.0,https://anaconda.org/conda-forge/sparkmagic,2023-09-23 23:23:29.586,117202.0,1.0,,,,,,,,1367.0,,,,,,,,,
32,nbgrader,True,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,25,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2024-04-24 18:04:27.000000,2024-03-28 20:03:27,294.0,241.0,663.0,1255.0,2024-03-26 10:47:37,0.9.2,352.0,13490.0,35.0,544.0,544.0,105.0,https://pypi.org/project/nbgrader,9213.0,https://anaconda.org/conda-forge/nbgrader,2024-03-27 13:36:44.749,158158.0,1.0,,,,,,,,,,,,,,,,,
33,PixieDust,True,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,Apache-2.0,2016-07-01 17:34:14.000,2023-06-16 16:19:15.930000,2021-02-16 04:46:41,160.0,164.0,261.0,1035.0,2019-12-04 15:06:08,1.1.18,,10387.0,19.0,263.0,263.0,33.0,https://pypi.org/project/pixiedust,9448.0,https://anaconda.org/conda-forge/pixiedust,2023-06-16 16:19:15.930,49786.0,1.0,,,,,,,,2157.0,,,,,,,,,
34,jupyter_server,True,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,25,jupyter-server/jupyter_server,jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2024-04-24 18:19:33.000000,2024-04-11 15:34:02,265.0,152.0,280.0,449.0,2024-04-11 15:34:20,2.14.0,2823.0,25924626.0,109.0,,,522.0,https://pypi.org/project/jupyter_server,25675108.0,https://anaconda.org/conda-forge/jupyter_server,2024-04-12 01:22:33.105,10726129.0,3.0,,,,,,,,,,,,,,,,,
35,Jupyter Sphinx,True,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,25,jupyter/jupyter-sphinx,jupyter_sphinx,,https://github.com/jupyter/jupyter-sphinx,BSD-3-Clause,2016-11-15 18:36:37.000,2024-03-23 15:48:27.000000,2024-03-23 15:48:27,60.0,43.0,110.0,181.0,2023-12-28 12:15:36,0.5.3,,70781.0,8.0,2550.0,2550.0,28.0,https://pypi.org/project/jupyter_sphinx,70781.0,,,,1.0,,,,,,,,,,,,,,,,,
36,nbdev,True,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,Apache-2.0,2019-11-18 17:37:35.000,2024-03-29 12:20:45.000000,2024-03-04 02:09:12,469.0,139.0,713.0,4740.0,2023-10-19 04:39:52,2.3.13,,61217.0,25.0,,,47.0,https://pypi.org/project/nbdev,61217.0,,,,2.0,,,,,,,,1683.0,,,,,,,,,
37,Resource Usage,True,Jupyter Notebook Extension for monitoring your own Resource..,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,24,jupyter-server/jupyter-resource-usage,jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,BSD-2-Clause,2016-04-22 07:01:34.000,2024-04-10 09:52:43.000000,2024-04-10 09:52:17,98.0,43.0,47.0,441.0,2024-03-12 17:30:10,1.0.2,273.0,73200.0,14.0,610.0,610.0,34.0,https://pypi.org/project/jupyter-resource-usage,61721.0,https://anaconda.org/conda-forge/nbresuse,2023-06-16 19:18:24.900,562201.0,1.0,,,,,,,,,,,,,,,,,
38,Jupyter Client,True,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,24,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,BSD-3-Clause,2015-04-09 06:57:29.000,2024-03-25 11:45:32.000000,2024-03-12 11:58:46,267.0,177.0,198.0,357.0,2024-03-12 11:59:02,8.6.1,1547.0,28428142.0,52.0,,,131.0,https://pypi.org/project/jupyter-client,28428094.0,,,,2.0,,,,,,,,,,,,,,,,,
39,Metakernel,True,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,24,Calysto/metakernel,metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,BSD-3-Clause,2014-08-24 20:53:45.000,2024-04-04 10:35:59.000000,2024-04-04 10:35:59,85.0,30.0,116.0,335.0,2024-03-26 16:33:26,0.30.2,168.0,44658.0,57.0,870.0,870.0,34.0,https://pypi.org/project/metakernel,27017.0,https://anaconda.org/conda-forge/metakernel,2024-03-26 18:46:54.233,776020.0,1.0,,,,,,,,,,,,,,,,,
40,Jupyter Themes,True,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,23,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,MIT,2014-12-10 23:22:23.000,2023-10-18 13:16:38.000000,2023-10-18 13:16:38,1057.0,195.0,203.0,9723.0,,,,159271.0,,21.0,21.0,43.0,https://pypi.org/project/jupyterthemes,159271.0,,,,2.0,,,,,,,,638.0,,,,,,,,,
41,RISE,True,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,23,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,,2013-08-26 18:55:36.000,2023-10-29 13:51:07.000000,2023-10-29 13:51:05,404.0,155.0,294.0,3652.0,,,,15682.0,9.0,2812.0,2812.0,44.0,https://pypi.org/project/RISE,11733.0,https://anaconda.org/conda-forge/rise,2023-06-16 16:08:42.704,292235.0,2.0,,,,,,,,770.0,,,,,,,,,
42,qgrid,True,"An interactive grid for sorting, filtering, and editing DataFrames..",https://github.com/quantopian/qgrid,,widgets,23,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,Apache-2.0,2014-09-30 04:33:20.000,2024-01-12 07:28:07.000000,2020-04-07 18:56:49,407.0,160.0,127.0,3028.0,2020-04-07 16:34:17,1.3.1,,48852.0,21.0,12.0,12.0,30.0,https://pypi.org/project/qgrid,43029.0,https://anaconda.org/conda-forge/qgrid,2023-06-16 16:08:00.950,404434.0,2.0,,,,,,,,405.0,qgrid,https://www.npmjs.com/package/qgrid,358.0,,,,,,
43,repo2docker,True,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,23,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,BSD-3-Clause,2017-05-09 08:36:30.000,2024-04-19 01:05:15.000000,2024-04-02 07:54:26,342.0,161.0,365.0,1581.0,2024-04-01 13:03:00,2024.03.0,,4469.0,14.0,208.0,208.0,123.0,https://pypi.org/project/jupyter-repo2docker,4469.0,,,,2.0,,,,,,,,,,,,,,,,,
44,NBextensions Configurator,True,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,23,jupyter-contrib/jupyter_nbextensions_configurator,jupyter_nbextensions_configurator,,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2024-01-03 14:09:47.000000,2023-09-29 00:14:07,119.0,64.0,36.0,966.0,2023-05-05 07:10:14,0.6.3,,643565.0,6.0,587.0,587.0,24.0,https://pypi.org/project/jupyter_nbextensions_configurator,643565.0,,,,2.0,,,,,,,,527.0,,,,,,,,,
